attempted,censored,failed,method_name,mlu,policy_consistency,succeeded
40,40,0,coma_dispatcher,0.26519172961403115 ± 0.21729855510186888,0.6114583333333333 ± 0.11259196146406185,0
40,40,0,no_update,0.31249999999999994 ± 0.2609769613566958,0.49895833333333334 ± 0.10737059892177427,0
40,40,0,ospf_default,0.31249999999999994 ± 0.2609769613566958,0.49895833333333334 ± 0.10737059892177427,0
