attempted,censored,failed,method_name,mlu_mean_plus_std,policy_mean_plus_std,succeeded,success_rate
10,10,0,coma_dispatcher,0.29097107398675576 ± 0.057142930918244184,0.8 ± 0.13146843962443594,0,0.0
10,10,0,no_update,0.37546686388068484 ± 0.0008679048044794707,0.6333333333333333 ± 0.1314684396244359,0,0.0
10,10,0,ospf_default,0.37546686388068484 ± 0.0008679048044794707,0.6333333333333333 ± 0.1314684396244359,0,0.0
